user_id,text
916697613,
916697613,Но честно сам все прорешал)) 6/6
916697613,"После первой группы прорешал все их задачи, жена говорит по-любюму другие будут, но я прорешал)) В итоге на зачёте осталось переписать 😊"
916697613,"Ну я где-то через полчаса сдал, после начала зачета"
355018531,Не у всех
916697613,"Ага, проверил у второй группы"
806990361,Нема
355018531,Комментариев нет?
806990361,"верно три, наверное"
806990361,аххаха
806990361,3-4 не знаю
1001969626,А сколько задач было решено?
806990361,"опаааа, добрые люди поставили зачет))))"
583625723,Лишь бы не заЧищать )
549661489,"Ну лучше в декрет отправить, чем родину защищать)"
549661489,Напиши Филевой)
355018531,Видимо искала себя)
741613157,"У неё вообще интересная биография: отучилась на эколога, сменила несколько профессий, последняя была груммером"
355018531,Понял)
583625723,"Да ладно, потом втянешься, как кошка в пылесос 😃"
355018531,Не особо хочется)
741613157,Так там берут в основном студентов которые на программистов не потянули
583625723,Лучше поинтересуйтесь ЗП депилятор(ш) зоны бикини 😂
741613157,"А потом либо пробиваться в программисты, либо в менеджеры проекта"
827053482,"Можно вас отвлечь, кто нашел модераторов по хакатону? они же менторы?"
583625723,"Девушку до 25 лет возьмут куда угодно, а вот мужикам за 50 проблематичнее устроиться ))"
355018531,пойти на 50к такое себе)
355018531,вещь не из дешевых)
880582901,А декрет-дети-сопли-больничных не боятся?
741613157,"Ну почему, на аналитика без опыта работы в it но с образованием и сторонним бекграундом без проблем можно пойти"
355018531,Ну к примеру норм груммеры в красе 150к зарабатывают)
880582901,😢
741613157,Для Спб вроде ниже среднего
549661489,"Ну при прочих равных, шансов, что возьмут девушку лет 25 больше, чем любого мужика))"
741613157,"Женат, но отношения скорее свободные"
741613157,На основной тестерам платят от 90к
583625723,"Главное, чтобы не через backdoor 😁"
880582901,"А мы тут учим математику, оказывается как нужно было"
583625723,😂😂😂
880582901,В айти - через постель)
583625723,"Значит, в дефолт сити и поболее можно просить"
880582901,Холост?
583625723,"У нас у половины сотрудников такие ""достижения"" 😂"
880582901,Со стороны кажется как 2 пальца об асфальт
880582901,"Хотя я не QA, не знаю особо кухню найма"
880582901,"Это да, нужно высосать из пальца хотябы пол года опыта + хорошо составить резюме"
339897801,QA да
549661489,Сложно даже попасть на него 😁
741613157,"Но им даже лекции по ОС, Java, multithreading читает чел из Computer Science Center"
153293033,классические рпг на английском лучше любых учебников
741613157,"Ну да, там у тестеров как проходной двор"
880582901,"Аа, маловато, но для первой работы норм"
153293033,я на компютерных играх повышал (я серьезно) + бухал тогда много со студентами с европы и америки
741613157,50к для Питера
741613157,"Вроде нормально, начальник относительно молод, БМВ, квартира в центре, загородный дом"
741613157,На прошлой берут всех в тестировщики но зарплата не ахти
880582901,"Я думал, что такого не может быть) а как девушки? Не увольняются из-за этого?"
741613157,"Они не жалуются, полгода девушку взяли после курсов тестировщика она до этого работала груммером"
